时间,东门,西门,南门,北门
00:00,56,48,38,30
00:10,56,48,38,30
00:20,56,48,38,31
00:30,56,48,38,31
00:40,56,50,38,31
00:50,56,50,38,31
01:00,56,50,38,31
01:10,56,50,38,31
01:20,57,50,38,32
01:30,57,50,38,32
01:40,58,50,38,32
01:50,58,51,38,32
02:00,58,51,38,32
02:10,58,52,38,32
02:20,58,52,38,32
02:30,59,52,38,32
02:40,60,52,38,32
02:50,61,52,38,32
03:00,61,53,38,32
03:10,61,53,38,32
03:20,63,56,38,32
03:30,63,56,38,32
03:40,63,56,38,33
03:50,63,56,38,33
04:00,63,56,39,33
04:10,64,56,39,33
04:20,64,56,39,33
04:30,64,56,39,34
04:40,64,56,39,34
04:50,64,56,39,34
05:00,64,56,39,34
05:10,64,56,39,34
05:20,64,56,39,35
05:30,64,56,39,36
05:40,64,56,39,36
05:50,65,56,39,36
06:00,67,56,39,36
06:10,67,56,39,36
06:20,67,56,39,37
06:30,67,56,39,37
06:40,67,56,39,37
06:50,67,56,39,37
07:00,68,56,40,37
07:10,68,56,40,37
07:20,68,56,40,38
07:30,68,57,40,39
07:40,68,57,40,39
07:50,69,57,40,39
08:00,69,57,40,39
08:10,69,57,40,39
08:20,69,57,40,39
08:30,70,56,40,39
08:40,70,56,40,38
08:50,70,57,40,38
09:00,70,58,40,38
09:10,70,58,40,38
09:20,70,58,40,39
09:30,70,58,40,39
09:40,70,57,40,39
09:50,70,57,40,39
10:00,69,57,39,39
10:10,69,56,39,39
10:20,69,56,39,39
10:30,69,56,39,39
10:40,69,55,39,38
10:50,68,55,39,38
11:00,68,55,39,38
11:10,66,55,39,38
11:20,66,54,39,38
11:30,64,55,39,38
11:40,64,55,39,38
11:50,63,55,39,38
12:00,62,53,39,37
12:10,61,51,39,36
12:20,60,50,38,35
12:30,59,51,38,35
12:40,59,51,37,35
12:50,57,51,36,35
13:00,56,51,36,35
13:10,57,51,36,35
13:20,57,51,35,35
13:30,57,51,35,35
13:40,56,51,34,34
13:50,56,51,34,33
14:00,56,50,34,33
14:10,56,50,34,33
14:20,56,50,34,33
14:30,56,50,34,33
14:40,56,51,34,34
14:50,56,51,34,34
15:00,56,51,34,33
15:10,56,51,34,33
15:20,55,51,35,33
15:30,56,50,35,33
15:40,56,48,35,33
15:50,56,47,35,33
16:00,56,47,35,33
16:10,56,47,35,33
16:20,56,48,35,32
16:30,56,48,35,32
16:40,56,48,35,32
16:50,55,48,37,31
17:00,56,47,37,32
17:10,56,47,37,32
17:20,55,47,37,33
17:30,55,47,37,32
17:40,55,47,37,32
17:50,57,48,37,33
18:00,58,47,37,33
18:10,59,48,37,33
18:20,57,49,38,33
18:30,57,48,38,33
18:40,57,47,37,33
18:50,57,47,38,33
19:00,56,47,38,34
19:10,55,47,38,34
19:20,54,46,38,34
19:30,54,46,38,33
19:40,55,46,38,33
19:50,57,46,39,33
20:00,56,46,39,33
20:10,57,46,39,33
20:20,57,46,39,32
20:30,57,45,39,32
20:40,57,45,39,31
20:50,57,45,39,31
21:00,57,45,39,31
21:10,58,45,39,31
21:20,58,46,39,31
21:30,60,46,39,31
21:40,60,45,39,31
21:50,63,45,39,31
22:00,63,46,39,31
22:10,63,48,39,31
22:20,63,49,39,31
22:30,63,48,38,33
22:40,63,48,38,33
22:50,63,48,37,32
23:00,63,48,37,32
23:10,63,47,37,32
23:20,63,47,37,32
23:30,63,48,37,32
23:40,63,49,37,33
23:50,63,51,37,33
