时间,东门,西门,南门,北门
00:00,27,45,39,31
00:10,26,47,39,31
00:20,26,47,39,32
00:30,26,48,39,32
00:40,27,48,39,32
00:50,28,48,39,32
01:00,28,48,39,32
01:10,30,48,39,32
01:20,31,48,39,32
01:30,31,48,39,32
01:40,33,48,39,32
01:50,34,48,39,32
02:00,35,48,39,32
02:10,36,47,39,32
02:20,37,48,39,32
02:30,38,48,39,32
02:40,38,48,39,32
02:50,39,48,39,33
03:00,41,48,39,33
03:10,41,49,39,33
03:20,42,50,39,33
03:30,43,50,39,33
03:40,44,50,39,33
03:50,45,50,39,34
04:00,45,50,39,35
04:10,45,50,39,35
04:20,45,50,39,35
04:30,45,50,39,35
04:40,46,50,39,35
04:50,46,50,39,35
05:00,46,50,39,35
05:10,50,50,39,36
05:20,50,51,39,36
05:30,50,51,39,36
05:40,50,52,39,37
05:50,52,52,39,37
06:00,55,52,39,37
06:10,57,52,39,37
06:20,57,53,39,37
06:30,58,53,39,37
06:40,58,53,39,37
06:50,59,53,39,38
07:00,61,53,39,38
07:10,60,53,39,38
07:20,60,53,39,37
07:30,62,53,39,37
07:40,63,53,39,37
07:50,64,53,39,37
08:00,61,53,39,38
08:10,61,52,39,38
08:20,60,52,39,38
08:30,59,53,38,37
08:40,59,50,38,35
08:50,59,49,38,33
09:00,58,48,37,33
09:10,57,48,37,31
09:20,52,47,35,30
09:30,51,43,35,29
09:40,52,39,35,29
09:50,50,34,35,28
10:00,48,33,35,28
