时间,东门,西门,南门,北门
00:00,63,51,37,33
00:10,63,51,37,34
00:20,63,51,37,34
00:30,63,51,37,34
00:40,63,51,37,34
00:50,63,51,37,34
01:00,63,51,37,35
01:10,63,52,37,35
01:20,63,52,37,35
01:30,63,52,37,35
01:40,63,53,37,36
01:50,63,53,37,36
02:00,64,53,37,36
02:10,64,53,37,36
02:20,64,53,37,36
02:30,64,53,37,36
02:40,64,53,37,36
02:50,64,53,37,37
03:00,64,54,37,37
03:10,64,54,37,37
03:20,64,54,37,38
03:30,65,54,37,38
03:40,65,54,37,38
03:50,65,54,38,38
04:00,65,55,39,38
04:10,65,56,39,38
04:20,65,57,39,38
04:30,65,57,39,38
04:40,65,57,39,38
04:50,65,57,39,38
05:00,65,57,39,38
05:10,66,57,39,38
05:20,66,58,39,38
05:30,66,58,39,38
05:40,66,58,39,38
05:50,66,58,39,38
06:00,67,58,39,38
06:10,68,58,39,38
06:20,68,58,39,39
06:30,68,59,39,39
06:40,68,59,39,39
06:50,68,59,40,39
07:00,67,59,40,40
07:10,67,59,40,40
07:20,67,59,40,40
07:30,67,59,40,40
07:40,68,59,40,40
07:50,68,59,40,40
08:00,69,59,40,40
08:10,69,59,40,40
08:20,69,59,40,40
08:30,67,59,40,40
08:40,67,59,40,39
08:50,67,60,40,39
09:00,67,59,40,39
09:10,67,59,40,39
09:20,66,59,40,39
09:30,66,59,40,39
09:40,66,58,40,39
09:50,66,58,40,39
10:00,66,58,40,39
10:10,66,58,40,39
10:20,66,58,40,38
10:30,66,57,40,37
10:40,66,57,40,37
10:50,66,57,40,37
11:00,66,56,40,36
11:10,67,55,40,36
11:20,66,55,40,36
11:30,64,55,39,36
11:40,64,54,39,36
11:50,64,54,39,36
12:00,65,54,39,37
12:10,64,54,39,37
12:20,64,52,39,37
12:30,64,52,39,37
12:40,64,52,39,37
12:50,64,52,37,37
13:00,63,51,37,37
13:10,63,50,36,35
13:20,63,50,36,35
13:30,63,49,36,35
13:40,63,48,36,36
13:50,64,48,36,36
14:00,64,48,36,35
14:10,64,48,36,34
14:20,64,47,36,35
14:30,64,48,34,35
14:40,64,47,34,33
14:50,64,47,34,33
15:00,65,47,34,33
15:10,65,47,34,33
15:20,65,47,34,33
15:30,64,47,33,34
15:40,64,47,33,34
15:50,63,46,33,34
16:00,63,47,33,34
16:10,63,47,33,34
16:20,63,46,33,34
16:30,63,46,34,34
16:40,63,47,34,34
16:50,63,46,35,35
17:00,63,46,35,35
17:10,63,46,35,35
17:20,62,47,35,33
17:30,62,49,35,33
17:40,63,49,35,33
17:50,63,49,36,33
18:00,63,49,35,33
18:10,62,47,35,33
18:20,63,47,36,33
18:30,62,46,36,32
18:40,59,47,36,32
18:50,58,46,36,31
19:00,58,46,36,31
19:10,58,46,36,31
19:20,58,46,36,31
19:30,58,46,36,31
19:40,58,46,36,32
19:50,58,47,36,32
20:00,58,47,36,32
20:10,59,47,36,33
20:20,59,47,36,33
20:30,59,47,37,33
20:40,59,47,37,33
20:50,59,47,37,34
21:00,59,47,37,34
21:10,58,49,38,34
21:20,58,48,38,34
21:30,59,47,38,34
21:40,59,47,37,34
21:50,59,47,38,34
22:00,58,46,38,34
22:10,58,46,38,34
22:20,58,47,38,34
22:30,58,47,39,34
22:40,58,47,39,34
22:50,59,49,39,32
23:00,56,49,39,31
23:10,57,49,39,31
23:20,57,50,39,31
23:30,57,50,39,31
23:40,57,50,39,31
23:50,57,50,39,31
