时间,东门,西门,南门,北门
00:00,6,0,25,5
00:10,8,0,25,7
00:20,8,0,25,7
00:30,8,0,25,8
00:40,9,0,25,8
00:50,10,2,25,8
01:00,10,2,25,9
01:10,13,2,25,10
01:20,13,2,25,10
01:30,14,2,25,10
01:40,15,1,25,10
01:50,15,3,25,10
02:00,15,3,25,11
02:10,15,3,25,11
02:20,15,4,25,11
02:30,17,5,25,12
02:40,18,7,26,12
02:50,18,7,26,12
03:00,18,8,26,12
03:10,20,12,26,13
03:20,21,12,26,14
03:30,25,16,27,14
03:40,28,20,27,17
03:50,28,22,27,18
04:00,29,25,27,19
04:10,31,26,27,21
04:20,33,27,27,21
04:30,37,28,29,22
04:40,41,28,29,25
04:50,43,30,29,26
05:00,46,31,29,27
05:10,47,31,29,28
05:20,48,31,30,29
05:30,49,33,31,29
05:40,49,36,31,29
05:50,50,37,31,28
06:00,50,38,31,29
06:10,52,40,31,31
06:20,53,42,31,31
06:30,55,44,32,31
06:40,55,47,32,31
06:50,55,48,32,33
07:00,56,50,32,34
07:10,56,50,33,34
07:20,57,50,35,35
07:30,59,51,38,36
07:40,59,51,38,37
07:50,61,52,38,37
08:00,63,52,38,37
08:10,63,55,38,37
08:20,64,55,39,37
08:30,63,55,39,37
08:40,62,53,38,35
08:50,64,51,38,32
09:00,62,50,35,30
09:10,62,50,35,28
09:20,61,44,34,28
09:30,60,39,34,26
09:40,60,34,34,26
09:50,60,30,34,24
10:00,58,29,34,24
10:10,58,23,34,24
10:20,56,21,33,25
10:30,54,17,33,25
10:40,49,12,33,23
10:50,49,11,34,22
11:00,48,9,34,19
11:10,46,9,34,18
11:20,44,8,34,16
11:30,43,8,33,14
11:40,39,4,30,12
11:50,37,0,29,10
12:00,31,1,24,7
