时间,东门,西门,南门,北门
00:00,44,22,36,16
00:10,44,22,36,16
00:20,44,22,35,16
00:30,45,23,35,16
00:40,45,23,35,16
00:50,46,25,35,17
01:00,46,25,35,17
01:10,46,26,35,17
01:20,46,26,35,17
01:30,47,26,35,17
01:40,47,26,35,18
01:50,47,27,35,18
02:00,47,28,35,20
02:10,47,28,36,20
02:20,48,29,36,21
02:30,48,31,26,21
02:40,48,31,37,21
02:50,49,31,37,22
03:00,50,31,37,24
03:10,50,31,37,24
03:20,50,33,37,24
03:30,51,34,37,24
03:40,51,36,37,24
03:50,51,37,37,24
04:00,52,37,37,24
04:10,54,37,37,24
04:20,55,38,37,25
04:30,57,39,37,26
04:40,59,41,37,27
04:50,60,41,37,28
05:00,60,41,37,28
05:10,61,41,37,29
05:20,61,43,37,29
05:30,61,46,37,29
05:40,62,48,37,29
05:50,63,48,37,29
06:00,64,50,37,29
06:10,64,50,37,29
06:20,65,50,37,29
06:30,65,50,37,30
06:40,65,50,37,30
06:50,65,50,37,31
07:00,65,52,37,33
07:10,65,52,36,33
07:20,67,53,36,34
07:30,67,53,36,35
07:40,67,53,36,37
07:50,67,53,36,37
08:00,67,52,36,37
08:10,68,51,37,38
08:20,68,52,39,37
08:30,68,53,39,37
08:40,68,55,38,37
08:50,68,56,38,37
09:00,67,56,38,35
09:10,66,56,38,34
09:20,66,57,37,34
09:30,66,57,37,31
09:40,66,57,37,30
09:50,65,56,37,29
10:00,64,56,37,29
10:10,64,56,36,29
10:20,62,55,36,28
10:30,61,53,36,28
10:40,60,53,36,27
10:50,58,53,36,27
11:00,58,52,35,27
11:10,59,53,35,26
11:20,59,52,35,26
11:30,58,50,35,25
11:40,56,47,36,23
11:50,54,46,36,24
12:00,54,45,36,24
12:10,52,45,37,24
12:20,51,44,37,24
12:30,50,41,36,21
12:40,49,39,36,20
12:50,49,36,36,19
13:00,47,35,36,19
13:10,47,33,36,18
13:20,47,31,36,19
13:30,46,31,35,18
13:40,46,31,35,18
13:50,45,31,34,19
14:00,46,31,35,19
14:10,48,31,35,19
14:20,47,30,35,19
14:30,46,31,35,20
14:40,46,31,35,20
14:50,46,29,35,18
15:00,46,27,35,19
15:10,45,29,35,19
15:20,45,29,35,19
15:30,45,29,35,18
15:40,44,27,35,20
15:50,43,29,35,21
16:00,43,29,36,21
16:10,44,28,36,21
16:20,45,29,36,21
16:30,45,30,36,20
16:40,44,28,36,20
16:50,44,28,36,19
17:00,43,29,36,18
17:10,43,29,36,17
17:20,45,29,36,16
17:30,47,30,36,18
17:40,48,30,36,17
17:50,48,31,36,17
18:00,48,31,36,19
18:10,48,32,37,19
18:20,47,32,38,19
18:30,49,31,39,20
18:40,47,32,39,18
18:50,48,29,39,19
19:00,48,29,39,19
19:10,47,29,38,21
19:20,47,27,38,23
19:30,49,26,38,22
19:40,50,26,38,22
19:50,50,32,38,21
20:00,50,32,38,22
20:10,51,32,38,22
20:20,51,30,38,24
20:30,52,30,38,24
20:40,50,30,39,25
20:50,49,31,39,25
21:00,49,31,39,25
21:10,48,30,38,25
21:20,48,29,38,26
21:30,48,31,38,26
21:40,48,35,38,26
21:50,48,35,38,28
22:00,48,36,38,28
