时间,东门,西门,南门,北门
00:00,1,1,24,1
00:10,3,1,24,1
00:20,3,0,24,2
00:30,4,1,24,1
00:40,5,1,24,1
00:50,5,1,24,2
01:00,7,1,24,2
01:10,7,2,24,2
01:20,8,3,24,2
01:30,9,3,24,2
01:40,10,2,24,2
01:50,11,2,24,3
02:00,12,2,24,3
02:10,13,3,24,3
02:20,13,3,24,3
02:30,13,3,24,6
02:40,16,4,24,6
02:50,16,7,24,7
03:00,19,10,24,8
03:10,20,12,24,8
03:20,22,13,24,8
03:30,23,14,24,8
03:40,24,15,24,8
03:50,24,15,24,9
04:00,25,18,25,9
04:10,27,22,25,9
04:20,28,25,25,10
04:30,29,28,25,11
04:40,31,29,26,11
04:50,32,32,26,12
05:00,35,33,26,16
05:10,36,33,26,16
05:20,38,33,26,18
05:30,38,35,26,19
05:40,41,36,26,19
05:50,42,37,27,20
06:00,44,39,28,20
06:10,47,39,28,20
06:20,47,40,28,22
06:30,47,42,29,23
06:40,49,45,29,24
06:50,51,47,31,27
07:00,52,47,31,28
07:10,53,46,32,27
07:20,53,46,33,29
07:30,56,45,34,29
07:40,56,46,34,31
07:50,54,48,35,33
08:00,55,48,35,32
08:10,55,49,35,31
08:20,55,50,35,31
08:30,57,47,37,31
08:40,56,44,37,32
08:50,52,42,37,31
09:00,52,40,37,31
09:10,50,41,38,30
09:20,49,41,37,29
09:30,47,40,37,28
09:40,46,40,35,27
09:50,45,38,35,27
10:00,42,36,35,26
