时间,东门,西门,南门,北门
00:00,4,9,26,9
00:10,4,9,26,9
00:20,5,13,26,9
00:30,5,15,26,9
00:40,6,15,26,9
00:50,6,15,26,10
01:00,7,15,26,11
01:10,8,15,26,10
01:20,9,15,26,11
01:30,12,15,26,11
01:40,14,20,26,11
01:50,16,20,26,12
02:00,18,21,26,12
02:10,20,22,26,12
02:20,20,23,26,13
02:30,21,23,28,15
02:40,21,24,29,15
02:50,23,23,29,15
03:00,28,23,29,15
03:10,29,23,29,15
03:20,31,24,30,16
03:30,33,25,31,17
03:40,33,28,31,17
03:50,33,29,31,18
04:00,36,31,32,20
04:10,37,32,32,22
04:20,40,32,32,22
04:30,41,33,32,22
04:40,43,36,32,23
04:50,44,37,32,24
05:00,46,37,32,25
05:10,49,38,33,25
05:20,49,39,33,26
05:30,50,40,34,26
05:40,53,40,35,27
05:50,53,40,35,29
06:00,53,40,35,29
