时间,东门,西门,南门,北门
00:00,1,3,27,3
00:10,0,3,28,3
00:20,1,3,28,4
00:30,1,5,28,7
00:40,2,8,28,6
00:50,2,11,28,7
01:00,4,11,28,8
01:10,5,12,28,8
01:20,5,12,28,8
01:30,8,12,28,9
01:40,9,13,28,9
01:50,10,15,28,11
02:00,13,16,28,12
02:10,16,16,29,12
02:20,16,17,29,12
02:30,17,18,29,12
02:40,22,19,29,12
02:50,24,19,29,13
03:00,25,22,29,13
03:10,27,25,29,13
03:20,29,27,30,13
03:30,31,27,32,13
03:40,32,30,32,13
03:50,34,30,32,16
04:00,35,31,32,17
04:10,38,31,32,17
04:20,39,31,32,18
04:30,39,31,32,21
04:40,39,34,32,21
04:50,40,37,32,22
05:00,42,38,32,23
05:10,45,39,33,23
05:20,46,39,33,23
05:30,46,40,34,23
05:40,48,42,34,23
05:50,48,45,34,23
06:00,48,46,34,23
06:10,49,46,34,23
06:20,51,47,34,25
06:30,53,47,34,28
06:40,54,48,34,28
06:50,55,51,34,29
07:00,54,51,34,31
07:10,55,51,34,33
07:20,52,51,34,33
07:30,50,51,34,33
07:40,50,52,37,33
07:50,47,50,38,32
08:00,46,50,39,34
08:10,46,50,39,33
08:20,42,52,39,32
08:30,41,50,39,32
08:40,41,47,38,30
08:50,40,44,38,30
09:00,41,44,38,29
09:10,37,42,37,29
09:20,33,41,37,27
09:30,31,36,37,25
09:40,29,33,37,25
09:50,26,31,37,23
10:00,25,27,37,21
10:10,24,27,36,21
10:20,23,27,36,20
10:30,22,26,36,20
10:40,21,25,35,20
10:50,20,25,35,20
11:00,19,24,33,18
11:10,20,23,32,18
11:20,18,23,32,16
11:30,18,24,32,14
11:40,13,18,32,14
11:50,11,17,32,9
12:00,8,10,33,6
12:10,7,6,32,6
12:20,4,2,31,4
12:30,2,0,31,2
12:40,1,1,30,1
12:50,0,0,29,0
13:00,0,1,27,0
13:10,0,0,25,0
13:20,0,0,24,0
13:30,2,0,24,0
13:40,1,2,22,0
13:50,0,3,22,0
14:00,0,1,22,0
14:10,2,1,22,0
14:20,1,1,22,1
14:30,0,0,22,3
14:40,1,0,19,3
14:50,0,0,19,3
15:00,0,1,17,3
15:10,1,2,16,1
15:20,1,2,15,1
15:30,1,3,14,0
15:40,0,2,14,1
15:50,0,5,14,0
16:00,1,4,15,0
16:10,1,3,15,1
16:20,2,2,16,2
16:30,0,2,17,2
16:40,3,4,16,0
16:50,2,5,16,1
17:00,1,5,15,2
17:10,0,3,16,1
17:20,1,4,17,1
17:30,1,3,17,1
17:40,2,1,20,0
17:50,2,1,21,1
18:00,3,2,21,2
18:10,2,0,22,0
18:20,1,1,23,2
18:30,1,3,23,0
18:40,0,3,22,1
18:50,0,1,23,1
19:00,0,4,23,0
19:10,0,1,24,0
19:20,4,2,24,0
19:30,3,2,24,0
19:40,5,2,24,0
19:50,6,1,24,0
20:00,4,2,26,0
