时间,东门,西门,南门,北门
00:00,0,1,27,0
00:10,0,2,26,0
00:20,0,4,26,1
00:30,0,4,26,1
00:40,0,4,27,1
00:50,0,4,28,0
01:00,0,3,29,1
01:10,1,3,29,1
01:20,3,5,29,1
01:30,3,5,29,1
01:40,3,7,29,1
01:50,4,8,29,2
02:00,5,10,29,2
02:10,7,10,30,2
02:20,9,12,30,2
02:30,11,13,30,3
02:40,14,14,31,5
02:50,15,16,32,7
03:00,18,16,32,8
03:10,18,17,32,13
03:20,20,18,32,15
03:30,21,20,32,16
03:40,22,21,34,18
03:50,23,24,34,19
04:00,27,26,35,22
04:10,28,29,35,23
04:20,29,30,35,23
04:30,29,30,35,24
04:40,32,32,35,25
04:50,35,34,35,26
05:00,35,35,36,26
05:10,35,37,37,26
05:20,38,39,37,28
05:30,39,42,37,29
05:40,42,43,37,29
05:50,42,43,37,30
06:00,44,44,37,30
06:10,44,44,37,30
06:20,45,46,37,30
06:30,46,47,37,30
06:40,47,48,38,31
06:50,48,49,38,34
07:00,50,50,38,34
07:10,51,50,38,34
07:20,53,50,38,35
07:30,54,51,38,35
07:40,54,52,38,34
07:50,58,50,38,33
08:00,55,50,38,33
