时间,东门,西门,南门,北门
00:00,67,53,39,39
00:10,67,53,39,39
00:20,67,53,39,39
00:30,67,53,39,39
00:40,67,53,39,39
00:50,67,53,39,39
01:00,67,53,39,40
01:10,67,53,39,40
01:20,67,53,40,40
01:30,67,53,40,40
01:40,67,53,40,40
01:50,67,53,40,40
02:00,67,53,40,40
02:10,67,53,40,40
02:20,67,53,40,40
02:30,67,53,40,40
02:40,67,53,40,40
02:50,67,53,40,40
03:00,67,53,40,40
03:10,67,53,40,40
03:20,68,54,40,40
03:30,68,54,40,40
03:40,68,55,40,40
03:50,69,55,40,40
04:00,70,55,40,40
04:10,70,55,40,40
04:20,70,56,40,40
04:30,70,56,40,40
04:40,70,57,40,40
04:50,70,58,40,40
05:00,70,58,40,40
05:10,70,59,40,40
05:20,70,59,40,40
05:30,70,59,40,40
05:40,70,59,40,40
05:50,70,59,40,40
06:00,70,59,40,40
06:10,70,59,40,40
06:20,70,59,40,40
06:30,70,60,40,40
06:40,70,60,40,40
06:50,69,60,40,40
07:00,69,60,40,40
07:10,69,60,40,40
07:20,69,60,40,40
07:30,69,60,40,40
07:40,69,60,40,40
07:50,69,60,40,40
08:00,69,60,40,40
08:10,69,60,40,40
08:20,68,60,40,40
08:30,68,60,40,40
08:40,68,59,40,40
08:50,68,59,40,40
09:00,68,59,40,40
09:10,68,59,40,40
09:20,68,59,40,40
09:30,68,59,39,40
09:40,68,58,39,40
09:50,68,58,39,40
10:00,68,58,39,40
10:10,68,58,39,40
10:20,68,58,38,40
10:30,68,57,38,40
10:40,68,58,38,40
10:50,68,58,38,39
11:00,68,58,38,39
11:10,68,58,37,39
11:20,68,58,37,39
11:30,68,57,37,39
11:40,68,56,37,39
11:50,68,56,37,38
12:00,66,55,36,38
12:10,66,55,36,38
12:20,67,55,36,38
12:30,67,55,35,38
12:40,66,55,34,38
12:50,66,55,34,38
13:00,65,54,34,36
13:10,65,54,34,35
13:20,64,54,34,35
13:30,64,54,34,35
13:40,64,54,35,35
13:50,64,54,35,35
14:00,64,53,35,35
14:10,64,53,35,34
14:20,64,53,35,34
14:30,63,53,35,34
14:40,63,53,34,33
14:50,63,53,34,33
15:00,63,53,35,33
15:10,62,53,35,33
15:20,62,53,35,33
15:30,62,53,35,33
15:40,62,54,34,33
15:50,62,54,34,34
16:00,62,54,34,34
16:10,62,54,34,34
16:20,62,54,34,34
16:30,62,54,34,34
16:40,62,55,34,34
16:50,62,54,36,34
17:00,63,54,36,34
17:10,62,54,36,33
17:20,62,54,37,33
17:30,61,54,38,33
17:40,62,53,38,32
17:50,61,53,38,32
18:00,61,51,38,32
18:10,61,51,38,31
18:20,60,51,38,32
18:30,60,51,38,32
18:40,60,50,39,32
18:50,60,50,39,32
19:00,60,50,39,32
19:10,60,50,38,32
19:20,60,49,38,32
19:30,62,49,38,32
19:40,61,50,38,34
19:50,61,51,38,34
20:00,61,51,38,34
20:10,60,51,38,33
20:20,60,51,38,33
20:30,60,51,38,34
20:40,59,51,39,34
20:50,59,51,39,34
21:00,60,51,39,33
21:10,61,51,39,33
21:20,60,51,39,33
21:30,60,53,39,33
21:40,60,53,39,33
21:50,60,53,39,33
22:00,60,53,39,33
22:10,59,54,39,33
22:20,59,54,39,33
22:30,57,54,39,33
22:40,57,54,39,33
22:50,57,54,39,33
23:00,57,54,39,32
23:10,56,54,39,31
23:20,57,54,39,31
23:30,57,54,39,31
23:40,57,55,39,31
23:50,58,55,39,31
