时间,东门,西门,南门,北门
00:00,37,52,39,37
00:10,37,53,39,37
00:20,39,53,39,37
00:30,39,53,39,37
00:40,39,53,39,37
00:50,39,54,39,37
01:00,39,54,39,37
01:10,39,54,39,37
01:20,39,54,39,37
01:30,40,55,39,37
01:40,40,55,39,37
01:50,41,55,39,37
02:00,42,56,39,37
02:10,42,56,39,37
02:20,44,56,39,37
02:30,45,56,39,37
02:40,46,56,39,37
02:50,48,57,39,37
03:00,51,57,39,37
03:10,54,57,39,37
03:20,54,57,39,39
03:30,55,58,39,39
03:40,55,58,40,39
03:50,56,58,40,39
04:00,57,58,40,39
04:10,57,59,40,39
04:20,57,59,40,39
04:30,58,59,40,40
04:40,60,59,40,40
04:50,60,59,40,40
05:00,60,59,40,40
05:10,61,59,40,40
05:20,61,59,40,40
05:30,61,59,40,40
05:40,62,59,40,40
05:50,62,59,40,40
06:00,62,59,40,40
06:10,63,59,40,40
06:20,64,59,40,40
06:30,64,59,40,40
06:40,65,60,40,40
06:50,65,60,40,40
07:00,65,60,40,40
07:10,65,60,40,40
07:20,60,60,40,40
07:30,61,60,40,39
07:40,62,60,40,39
07:50,62,60,40,39
08:00,59,58,40,39
08:10,59,58,40,38
08:20,57,57,40,38
08:30,56,57,40,38
08:40,56,55,40,37
08:50,55,54,39,36
09:00,55,52,37,36
09:10,54,48,37,33
09:20,46,47,37,32
09:30,47,45,37,31
09:40,47,39,37,31
09:50,43,36,37,26
10:00,42,35,36,26
