时间,东门,西门,南门,北门
00:00,5,2,24,9
00:10,5,2,24,9
00:20,5,4,24,9
00:30,5,5,24,10
00:40,5,6,24,12
00:50,6,7,24,11
01:00,7,8,24,11
01:10,6,9,26,11
01:20,6,9,27,11
01:30,7,9,27,11
01:40,8,10,27,11
01:50,9,10,27,11
02:00,11,10,27,12
02:10,12,10,27,13
02:20,13,11,27,13
02:30,14,12,27,14
02:40,17,12,27,14
02:50,21,14,27,16
03:00,23,15,28,17
03:10,24,20,30,18
03:20,27,20,30,19
03:30,31,23,30,21
03:40,32,24,31,22
03:50,34,27,31,22
04:00,34,31,31,22
04:10,37,33,31,22
04:20,37,33,32,23
04:30,38,35,32,25
04:40,38,38,32,25
04:50,39,39,32,25
05:00,39,39,32,26
05:10,41,40,32,28
05:20,42,41,32,29
05:30,44,43,32,29
05:40,45,43,32,29
05:50,46,44,32,30
06:00,48,44,33,32
06:10,49,44,33,33
06:20,49,45,34,33
06:30,50,46,34,34
06:40,50,47,34,35
06:50,50,47,35,35
07:00,54,48,35,35
07:10,55,49,35,35
07:20,55,50,35,35
07:30,55,51,35,35
07:40,56,52,36,35
07:50,55,52,36,36
08:00,55,52,38,36
08:10,55,52,37,36
08:20,55,51,38,36
08:30,56,50,38,35
08:40,55,51,38,35
08:50,55,51,38,35
09:00,55,50,38,34
09:10,53,50,38,33
09:20,53,49,38,31
09:30,52,47,38,31
09:40,52,48,38,30
09:50,46,42,37,30
10:00,43,41,37,29
10:10,43,40,37,29
10:20,42,39,37,28
10:30,39,39,37,28
10:40,39,38,37,28
10:50,39,35,37,30
11:00,38,35,37,30
11:10,35,34,38,30
11:20,32,34,38,30
11:30,28,34,38,27
11:40,26,35,38,27
11:50,21,34,38,22
12:00,18,33,38,19
12:10,16,29,36,17
12:20,12,24,36,15
12:30,7,22,36,14
12:40,7,19,33,13
12:50,7,18,32,11
13:00,5,15,31,10
13:10,3,15,30,9
13:20,3,14,29,8
13:30,1,16,28,7
13:40,1,14,28,5
13:50,1,14,28,6
14:00,0,13,27,6
14:10,3,13,23,6
14:20,3,13,23,6
14:30,3,14,23,6
14:40,2,12,23,4
14:50,2,10,23,3
15:00,3,9,23,3
15:10,1,9,24,3
15:20,0,10,22,3
15:30,0,10,21,4
15:40,2,7,21,6
15:50,1,6,21,5
16:00,0,4,22,3
