时间,东门,西门,南门,北门
00:00,4,11,30,15
00:10,6,13,30,15
00:20,7,13,30,15
00:30,8,13,30,15
00:40,11,13,29,17
00:50,11,14,29,17
01:00,11,14,29,17
01:10,11,13,29,17
01:20,11,13,29,17
01:30,12,16,29,17
01:40,13,16,29,17
01:50,14,17,30,17
02:00,15,17,30,17
02:10,16,18,30,17
02:20,16,18,30,19
02:30,16,20,30,19
02:40,18,21,30,20
02:50,22,21,30,20
03:00,23,21,30,20
03:10,23,21,30,20
03:20,24,21,30,22
03:30,25,22,30,22
03:40,26,23,30,22
03:50,27,27,30,23
04:00,27,30,30,23
04:10,29,31,30,23
04:20,31,34,30,23
04:30,34,35,30,24
04:40,35,36,30,25
04:50,37,36,31,26
05:00,39,37,31,26
05:10,39,37,32,30
05:20,40,37,33,30
05:30,42,37,33,30
05:40,43,38,34,30
05:50,45,38,34,30
06:00,46,38,34,30
06:10,47,38,34,30
06:20,48,39,34,30
06:30,49,41,34,31
06:40,50,43,34,31
06:50,51,43,34,32
07:00,51,43,34,34
07:10,54,42,34,34
07:20,55,44,34,34
07:30,56,46,34,35
07:40,55,48,37,36
07:50,56,48,37,37
08:00,55,48,37,37
08:10,55,50,37,37
08:20,56,50,37,38
08:30,56,51,37,36
08:40,56,48,39,35
08:50,57,47,40,33
09:00,58,46,40,32
09:10,57,45,39,30
09:20,57,44,39,28
09:30,55,44,38,27
09:40,53,41,38,28
09:50,49,35,38,26
10:00,49,35,38,26
10:10,49,33,37,25
10:20,50,32,38,26
10:30,48,31,38,24
10:40,47,31,38,23
10:50,47,29,37,21
11:00,44,31,37,22
11:10,40,31,37,21
11:20,39,27,37,19
11:30,36,23,35,16
11:40,33,20,35,16
11:50,31,17,35,15
12:00,28,14,33,13
12:10,24,10,32,12
12:20,22,6,32,11
12:30,18,3,31,7
12:40,14,0,31,6
12:50,8,0,31,6
13:00,2,0,29,6
13:10,1,0,29,6
13:20,1,1,28,6
13:30,1,0,25,6
13:40,0,0,25,6
13:50,2,0,25,7
14:00,1,0,22,8
14:10,0,0,21,6
14:20,1,0,21,6
14:30,1,0,21,7
14:40,0,0,21,7
14:50,1,2,21,7
15:00,0,1,21,6
15:10,1,0,22,6
15:20,0,0,22,7
15:30,0,1,24,8
15:40,0,0,24,5
15:50,0,0,25,5
16:00,0,1,23,3
16:10,0,0,24,2
16:20,0,1,24,3
16:30,0,1,24,4
16:40,1,1,24,5
16:50,1,3,24,6
17:00,2,5,25,5
17:10,1,5,24,5
17:20,2,7,25,5
17:30,2,4,26,3
17:40,0,4,25,1
17:50,2,5,24,0
18:00,2,4,25,0
18:10,4,5,24,0
18:20,4,3,24,3
18:30,4,3,24,1
18:40,3,2,24,2
18:50,1,2,24,2
19:00,0,3,26,2
19:10,2,4,27,2
19:20,3,3,27,1
19:30,5,2,27,2
19:40,4,4,26,1
19:50,5,4,26,0
20:00,1,2,27,0
20:10,1,2,27,2
20:20,1,1,28,3
20:30,1,1,27,3
20:40,2,2,27,1
20:50,2,2,27,2
21:00,2,2,26,3
21:10,2,1,26,1
21:20,2,1,27,1
21:30,2,2,27,0
21:40,1,1,29,0
21:50,0,1,28,1
22:00,1,0,28,0
22:10,2,1,28,0
22:20,1,3,26,1
22:30,1,2,26,4
22:40,0,1,26,4
22:50,0,0,28,5
23:00,0,1,28,5
23:10,1,2,27,5
23:20,0,2,26,5
23:30,0,3,26,6
23:40,0,1,26,6
23:50,0,0,26,6
