时间,东门,西门,南门,北门
00:00,17,23,30,23
00:10,17,24,30,23
00:20,18,24,30,23
00:30,18,25,30,24
00:40,19,26,31,24
00:50,18,26,31,25
01:00,19,26,31,25
01:10,19,26,31,25
01:20,22,26,32,26
01:30,24,28,32,27
01:40,26,30,32,27
01:50,28,31,32,27
02:00,30,31,32,27
02:10,33,34,32,27
02:20,33,37,32,28
02:30,33,37,32,28
02:40,33,37,34,28
02:50,36,37,36,29
03:00,36,38,38,29
03:10,37,38,38,30
03:20,39,40,38,30
03:30,40,41,38,31
03:40,43,41,38,31
03:50,45,45,38,32
04:00,45,46,38,32
04:10,47,47,38,32
04:20,49,49,38,34
04:30,49,51,38,34
04:40,49,52,38,34
04:50,51,52,38,36
05:00,51,53,38,36
05:10,54,53,38,36
05:20,55,54,38,36
05:30,57,54,38,36
05:40,59,55,38,36
05:50,59,55,38,37
06:00,59,55,38,37
06:10,59,55,38,38
06:20,62,56,38,38
06:30,62,56,38,38
06:40,63,56,38,38
06:50,63,57,38,38
07:00,64,58,38,37
07:10,66,59,39,37
07:20,67,59,39,38
07:30,67,59,39,38
07:40,66,59,39,38
07:50,65,59,39,38
08:00,64,59,40,38
08:10,63,59,40,38
08:20,63,59,40,39
08:30,63,59,40,38
08:40,62,59,40,38
08:50,60,57,40,37
09:00,59,56,39,36
09:10,59,55,39,35
09:20,58,51,39,34
09:30,59,50,39,33
09:40,57,48,38,33
09:50,53,46,38,30
10:00,46,45,38,30
10:10,46,45,38,30
10:20,43,44,38,29
10:30,40,44,38,28
10:40,39,44,39,28
10:50,39,44,38,28
11:00,40,44,38,28
11:10,40,44,38,27
11:20,39,44,38,26
11:30,38,44,37,26
11:40,36,45,37,24
11:50,35,40,37,23
12:00,35,34,37,20
12:10,32,30,37,21
12:20,30,27,36,20
12:30,26,26,36,21
12:40,26,25,36,19
12:50,25,23,36,19
13:00,25,21,36,18
13:10,23,19,35,18
13:20,23,16,36,19
13:30,21,15,37,19
13:40,21,13,37,19
13:50,22,14,37,18
14:00,21,13,37,18
14:10,20,13,37,18
14:20,19,12,36,17
14:30,19,12,36,17
14:40,18,10,35,16
14:50,17,7,35,15
15:00,17,6,35,13
15:10,17,7,35,13
15:20,17,7,36,12
15:30,14,7,36,11
15:40,14,7,36,10
15:50,13,6,36,10
16:00,10,5,35,7
16:10,7,5,35,6
16:20,9,6,35,6
16:30,9,5,36,4
16:40,8,4,36,4
16:50,3,3,36,3
17:00,3,0,36,4
17:10,5,1,35,5
17:20,4,0,35,6
17:30,3,4,34,7
17:40,3,6,34,10
17:50,0,5,33,8
18:00,1,3,33,5
18:10,1,6,34,4
18:20,1,5,33,3
18:30,2,5,31,5
18:50,4,4,31,4
19:00,2,4,31,5
19:10,1,4,31,6
19:20,0,4,32,6
19:30,1,1,30,5
19:40,3,3,30,6
19:50,2,1,30,7
20:00,0,2,29,8
20:10,1,1,29,8
20:20,0,0,29,8
20:30,0,1,29,6
20:40,1,2,29,6
20:50,0,1,30,8
21:00,0,1,30,5
21:10,0,0,29,4
21:20,1,0,30,3
21:30,1,0,30,5
21:40,1,2,29,5
21:50,2,4,29,4
22:00,2,4,29,3
22:10,2,4,28,2
22:20,1,5,28,1
22:30,0,2,28,1
22:40,0,2,28,3
22:50,1,3,27,2
23:00,1,7,27,3
23:10,0,8,26,3
23:20,0,7,27,3
23:30,1,8,27,4
23:40,1,7,27,3
23:50,2,6,27,3
