时间,东门,西门,南门,北门
00:00,6,3,23,1
00:10,6,4,23,1
00:20,7,4,23,1
00:30,7,4,23,0
00:40,8,4,24,1
00:50,8,4,24,1
01:00,9,5,24,1
01:10,9,6,24,1
01:20,9,6,24,1
01:30,11,8,24,1
01:40,11,12,24,2
01:50,13,12,26,2
02:00,14,12,26,3
02:10,14,12,26,3
02:20,15,12,26,3
02:30,16,12,26,4
02:40,17,15,26,5
02:50,18,16,26,7
03:00,19,16,27,7
03:10,19,18,28,9
03:20,21,19,28,9
03:30,25,20,29,11
03:40,26,20,29,13
03:50,27,23,29,16
04:00,27,24,29,16
04:10,29,29,29,16
04:20,30,31,29,16
04:30,30,33,30,16
04:40,31,35,30,16
04:50,32,36,30,16
05:00,34,39,30,17
05:10,37,39,31,19
05:20,38,40,32,19
05:30,38,40,32,20
05:40,41,42,32,20
05:50,45,44,32,21
06:00,45,44,33,21
06:10,47,44,33,22
06:20,49,46,33,23
06:30,51,46,34,24
06:40,53,47,34,24
06:50,54,49,34,24
07:00,54,49,35,24
07:10,56,49,35,25
07:20,56,49,36,25
07:30,57,51,36,25
07:40,56,53,36,24
07:50,56,54,37,26
08:00,54,55,37,29
08:10,54,54,37,29
08:20,54,53,38,29
08:30,52,51,39,25
08:40,50,49,38,25
08:50,49,46,38,24
09:00,50,43,38,24
09:10,48,40,38,24
09:20,46,37,36,23
09:30,45,35,35,22
09:40,42,35,34,21
09:50,38,32,34,19
10:00,36,30,33,18
10:10,33,28,33,18
10:20,32,27,32,18
10:30,29,28,31,18
10:40,29,24,31,16
10:50,27,24,31,16
11:00,27,21,31,15
11:10,25,21,31,12
11:20,22,21,32,11
11:30,20,18,31,11
11:40,15,14,31,10
11:50,11,11,30,9
12:00,9,7,29,8
12:10,8,4,26,8
12:20,9,3,24,6
12:30,7,2,23,3
12:40,6,2,21,1
12:50,4,1,21,1
13:00,1,2,19,0
13:10,4,2,15,2
13:20,2,1,15,1
13:30,1,1,15,0
13:40,1,3,16,1
13:50,3,5,16,1
14:00,3,2,16,0
14:10,2,3,17,0
14:20,0,2,17,1
14:30,0,1,17,0
14:40,0,1,18,1
14:50,1,1,18,1
15:00,1,1,17,0
15:10,0,1,17,1
15:20,1,1,19,1
15:30,3,1,18,0
15:40,3,1,19,2
15:50,0,1,19,2
16:00,0,2,18,0
16:10,0,3,16,0
16:20,0,3,16,1
16:30,0,2,18,0
16:40,1,4,19,0
16:50,1,2,19,1
17:00,0,2,20,1
17:10,1,2,22,1
17:20,4,2,22,3
17:30,1,3,22,3
17:40,1,3,22,6
17:50,1,4,20,4
18:00,2,2,22,3
18:10,2,2,22,2
18:20,2,2,21,2
18:30,0,1,19,3
18:40,1,1,19,1
18:50,0,2,19,2
19:00,0,2,18,3
19:10,1,2,18,3
19:20,4,1,16,2
19:30,4,5,15,1
19:40,5,4,16,3
19:50,5,6,15,4
20:00,5,5,14,3
