时间,东门,西门,南门,北门
00:00,20,6,34,12
00:10,20,7,34,12
00:20,21,8,35,13
00:30,22,8,35,13
00:40,26,8,35,13
00:50,27,8,35,14
01:00,28,8,35,14
01:10,28,8,35,14
01:20,30,8,35,14
01:30,30,9,35,14
01:40,30,9,35,14
01:50,31,11,35,15
02:00,31,14,35,16
02:10,33,15,35,16
02:20,34,16,35,17
02:30,36,21,35,17
02:40,36,23,35,20
02:50,36,26,35,20
03:00,41,27,35,20
03:10,41,29,35,20
03:20,42,29,35,20
03:30,44,31,35,21
03:40,48,31,35,22
03:50,49,32,35,22
04:00,49,32,35,23
04:10,49,34,36,24
04:20,51,34,36,25
04:30,51,37,36,25
04:40,52,37,36,25
04:50,52,38,36,26
05:00,55,38,37,27
05:10,55,42,37,27
05:20,55,43,37,27
05:30,56,45,37,27
05:40,57,45,37,28
05:50,57,46,37,29
06:00,58,48,38,30
06:10,58,48,38,30
06:20,58,49,38,30
06:30,58,50,38,32
06:40,58,50,38,32
06:50,57,50,38,33
07:00,57,51,39,33
07:10,57,52,39,33
07:20,58,53,39,35
07:30,60,54,39,35
07:40,60,53,39,35
07:50,60,54,39,35
08:00,63,54,39,35
08:10,64,52,39,35
08:20,65,51,39,35
08:30,66,51,39,33
08:40,67,53,39,31
08:50,68,51,39,32
09:00,68,49,39,32
09:10,68,49,39,31
09:20,68,48,39,30
09:30,67,47,39,30
09:40,66,46,39,30
09:50,66,46,39,29
10:00,66,46,40,30
