时间,东门,西门,南门,北门
00:00,2,6,23,7
00:10,1,6,24,6
00:20,0,8,24,6
00:30,1,11,25,6
00:40,1,11,25,6
00:50,1,12,25,6
01:00,3,12,25,7
01:10,3,12,25,7
01:20,6,13,25,8
01:30,7,15,26,8
01:40,9,15,27,8
01:50,11,16,27,9
02:00,11,16,27,9
02:10,11,16,27,9
02:20,12,17,27,9
02:30,12,18,27,9
02:40,14,18,27,9
02:50,15,20,27,10
03:00,16,22,27,11
03:10,17,22,27,13
03:20,18,23,27,14
03:30,20,25,27,15
03:40,26,27,27,16
03:50,28,29,27,16
04:00,29,30,27,17
04:10,30,31,27,17
04:20,31,32,27,17
04:30,32,33,28,19
04:40,34,33,28,21
04:50,35,33,28,21
05:00,35,36,29,23
05:10,35,37,29,23
05:20,35,37,30,23
05:30,36,37,31,23
05:40,40,37,32,23
05:50,42,37,33,23
06:00,42,38,33,23
06:10,46,38,34,23
06:20,46,39,34,23
06:30,46,40,34,23
06:40,46,40,34,25
06:50,48,42,35,25
07:00,50,44,36,26
07:10,50,44,36,26
07:20,47,46,36,30
07:30,44,47,36,31
07:40,45,47,39,31
07:50,48,46,39,33
08:00,48,47,40,32
08:10,51,47,40,31
08:20,50,48,40,31
08:30,51,48,40,31
08:40,51,47,40,32
08:50,49,45,39,32
09:00,47,45,38,32
09:10,46,47,38,32
09:20,45,45,38,30
09:30,43,46,38,30
09:40,41,45,38,30
09:50,39,41,38,30
10:00,37,40,38,27
