时间,东门,西门,南门,北门
00:00,20,32,35,21
00:10,20,33,35,22
00:20,22,33,35,22
00:30,22,33,35,23
00:40,22,34,36,24
00:50,23,34,36,24
01:00,24,35,37,24
01:10,25,36,38,24
01:20,27,36,38,24
01:30,28,36,38,24
01:40,28,36,38,24
01:50,30,37,38,24
02:00,30,37,39,24
02:10,32,38,39,24
02:20,32,40,39,25
02:30,34,40,39,25
02:40,35,43,39,26
02:50,36,43,39,26
03:00,36,43,39,26
03:10,37,44,39,27
03:20,38,45,39,27
03:30,39,46,39,28
03:40,41,46,39,28
03:50,41,47,39,29
04:00,43,48,39,30
04:10,45,49,39,30
04:20,45,51,39,32
04:30,48,51,39,33
04:40,50,51,39,33
04:50,53,52,39,33
05:00,53,52,39,33
05:10,57,52,39,33
05:20,57,52,39,33
05:30,57,53,39,33
05:40,58,53,39,34
05:50,58,54,39,34
06:00,60,54,39,34
06:10,60,55,39,35
06:20,60,55,39,35
06:30,61,55,39,36
06:40,63,55,39,36
06:50,63,55,39,36
07:00,63,55,39,37
07:10,63,55,39,37
07:20,63,55,39,37
07:30,64,55,39,38
07:40,65,55,39,38
07:50,66,54,39,38
08:00,66,54,38,37
08:10,68,53,39,37
08:20,67,54,39,37
08:30,67,51,39,38
08:40,67,51,39,37
08:50,66,52,39,37
09:00,64,53,39,37
09:10,64,53,39,37
09:20,62,53,39,37
09:30,61,52,39,38
09:40,61,52,38,38
09:50,61,53,38,37
10:00,60,52,38,36
10:10,59,51,38,36
10:20,58,51,38,36
10:30,57,51,38,35
10:40,57,51,38,35
10:50,57,51,38,35
11:00,55,51,38,34
11:10,52,50,38,34
11:20,47,48,38,33
11:30,44,47,39,34
11:40,43,47,39,33
11:50,40,45,38,33
12:00,33,43,37,33
12:10,30,43,37,33
12:20,27,42,37,32
12:30,22,43,37,32
12:40,17,43,37,33
12:50,17,43,37,33
13:00,17,43,37,33
13:10,17,44,37,32
13:20,17,43,35,32
13:30,16,44,34,32
13:40,14,44,34,32
13:50,10,43,34,32
14:00,10,43,35,30
