时间,东门,西门,南门,北门
00:00,3,2,17,4
00:10,3,2,17,3
00:20,4,2,17,4
00:30,5,2,17,5
00:40,7,2,17,5
00:50,9,2,17,5
01:00,9,3,17,5
01:10,9,7,18,4
01:20,10,8,18,4
01:30,10,8,19,4
01:40,13,9,19,4
01:50,15,10,20,4
02:00,18,10,20,4
02:10,20,10,20,5
02:20,21,12,20,7
02:30,22,12,20,8
02:40,22,13,20,8
02:50,22,17,20,11
03:00,23,19,20,11
03:10,26,19,20,11
03:20,30,19,20,13
03:30,33,23,21,14
03:40,35,26,21,16
03:50,37,27,22,16
04:00,38,29,23,17
04:10,40,31,23,18
04:20,44,31,24,19
04:30,45,32,24,22
04:40,46,33,25,22
04:50,47,34,25,23
05:00,48,35,25,23
05:10,49,37,25,23
05:20,50,37,29,25
05:30,52,38,29,25
05:40,52,38,29,26
05:50,53,39,29,26
06:00,53,39,29,26
