时间,东门,西门,南门,北门
00:00,68,51,40,38
00:10,68,51,40,38
00:20,68,51,40,38
00:30,68,51,40,38
00:40,68,51,40,38
00:50,68,51,40,38
01:00,68,51,40,38
01:10,68,51,40,38
01:20,69,51,40,38
01:30,69,51,40,38
01:40,69,51,40,38
01:50,69,51,40,38
02:00,69,51,40,38
02:10,69,51,40,39
02:20,69,51,40,39
02:30,69,51,40,39
02:40,69,51,40,40
02:50,69,51,40,40
03:00,69,51,40,40
03:10,69,51,40,40
03:20,69,51,40,40
03:30,69,51,40,40
03:40,69,52,40,40
03:50,69,52,40,40
04:00,69,52,40,40
04:10,69,54,40,40
04:20,69,54,40,40
04:30,69,54,40,40
04:40,69,54,40,40
04:50,69,54,40,40
05:00,69,54,40,40
05:10,69,54,40,40
05:20,69,54,40,40
05:30,69,56,40,40
05:40,69,56,40,40
05:50,70,57,40,40
06:00,70,57,40,40
06:10,70,57,40,40
06:20,70,57,40,40
06:30,70,57,40,40
06:40,70,57,40,40
06:50,70,59,40,40
07:00,70,59,40,40
07:10,69,59,40,40
07:20,69,59,40,40
07:30,69,59,40,40
07:40,69,58,40,39
07:50,68,58,40,39
08:00,68,58,40,39
08:10,68,57,40,39
08:20,68,57,40,39
08:30,68,57,40,38
08:40,68,57,40,38
08:50,68,58,40,38
09:00,67,57,40,38
09:10,67,57,40,38
09:20,67,57,40,38
09:30,67,57,39,38
09:40,67,57,39,37
09:50,67,57,39,37
10:00,67,57,39,37
10:10,66,57,39,37
10:20,66,57,39,37
10:30,66,57,39,37
10:40,66,57,39,37
10:50,66,57,39,37
11:00,66,57,39,37
11:10,66,57,39,37
11:20,66,57,39,37
11:30,66,59,39,37
11:40,65,59,39,37
11:50,65,60,39,37
12:00,65,60,40,37
12:10,66,60,40,37
12:20,66,60,40,37
12:30,66,60,40,37
12:40,66,60,40,38
12:50,67,60,40,39
13:00,67,60,40,39
13:10,67,60,40,39
13:20,67,60,40,39
13:30,67,59,40,39
13:40,67,59,40,39
13:50,67,59,40,39
14:00,66,59,40,39
14:10,66,59,40,39
14:20,66,59,40,39
14:30,66,59,40,39
14:40,66,59,40,39
14:50,66,59,40,39
15:00,66,59,40,39
15:10,67,57,40,38
15:20,68,57,40,38
15:30,68,57,40,38
15:40,68,57,40,38
15:50,68,57,40,38
16:00,68,57,40,38
16:10,68,57,40,38
16:20,68,57,40,38
16:30,68,55,40,38
16:40,68,55,40,38
16:50,68,55,40,39
17:00,68,55,40,39
17:10,68,55,40,39
17:20,66,56,40,38
17:30,65,56,40,38
17:40,65,56,40,38
17:50,65,56,40,38
18:00,65,56,39,38
18:10,66,56,39,38
18:20,66,56,39,38
18:30,66,56,39,38
18:40,66,56,39,38
18:50,66,55,39,38
19:00,64,55,39,38
19:10,64,55,39,37
19:20,64,55,39,37
19:30,64,55,39,37
19:40,64,55,39,37
19:50,64,55,39,37
20:00,64,55,39,37
20:10,64,55,39,37
20:20,64,55,39,37
20:30,64,55,39,36
20:40,64,55,40,36
20:50,64,56,40,35
21:00,64,56,40,35
21:10,64,55,40,35
21:20,65,55,40,35
21:30,65,55,40,35
21:40,65,55,40,35
21:50,65,55,40,35
22:00,65,55,40,35
22:10,65,55,40,35
22:20,65,55,40,35
22:30,66,56,40,35
22:40,66,56,40,35
22:50,66,56,40,35
23:00,66,56,40,35
23:10,66,56,40,35
23:20,66,55,40,35
23:30,66,55,40,35
23:40,66,55,40,35
23:50,67,55,40,35
