时间,东门,西门,南门,北门
00:00,2,2,24,1
00:10,4,2,24,2
00:20,5,3,24,4
00:30,6,3,26,4
00:40,6,4,26,4
00:50,7,5,26,4
01:00,7,6,26,4
01:10,7,7,26,5
01:20,8,8,26,5
01:30,8,8,26,5
01:40,8,9,26,5
01:50,8,10,26,6
02:00,11,11,26,6
02:10,12,12,28,5
02:20,15,13,29,6
02:30,17,14,29,6
02:40,19,16,29,6
02:50,21,19,29,6
03:00,21,19,29,7
03:10,24,20,29,8
03:20,25,24,29,8
03:30,29,26,30,8
03:40,33,27,30,9
03:50,34,31,31,10
04:00,34,32,31,12
04:10,37,34,32,13
04:20,39,36,33,13
04:30,40,37,33,14
04:40,43,39,33,16
04:50,46,42,34,17
05:00,46,42,34,17
05:10,49,42,34,18
05:20,49,45,34,18
05:30,51,46,34,20
05:40,51,46,34,20
05:50,51,47,34,21
06:00,52,47,35,21
06:10,52,49,35,21
06:20,54,49,35,22
06:30,56,51,35,22
06:40,56,52,35,22
06:50,56,52,36,24
07:00,55,53,36,26
07:10,53,54,36,26
07:20,51,56,37,26
07:30,51,56,37,28
07:40,51,58,37,28
07:50,50,58,37,28
08:00,51,58,37,28
08:10,51,57,38,28
08:20,50,55,38,29
08:30,49,54,38,27
08:40,48,52,39,24
08:50,50,51,38,25
09:00,48,49,36,24
09:10,44,45,37,22
09:20,43,42,36,20
09:30,41,41,35,19
09:40,37,40,35,16
09:50,33,27,35,16
10:00,30,24,33,15
