时间,东门,西门,南门,北门
00:00,3,0,28,0
00:10,3,0,28,0
00:20,3,1,28,2
00:30,5,1,28,2
00:40,5,1,29,3
00:50,5,1,29,3
01:00,5,1,30,3
01:10,5,1,30,4
01:20,6,0,30,5
01:30,8,3,30,5
01:40,9,6,30,5
01:50,12,6,30,6
02:00,12,8,30,7
02:10,13,11,30,8
02:20,15,12,30,8
02:30,16,12,30,8
02:40,18,13,30,9
02:50,18,16,30,10
03:00,18,17,30,11
03:10,19,17,30,11
03:20,19,20,30,11
03:30,23,21,31,11
03:40,27,23,31,12
03:50,28,25,31,13
04:00,30,27,31,13
04:10,32,27,31,17
04:20,34,29,31,20
04:30,34,29,31,20
04:40,36,29,32,21
04:50,37,32,32,21
05:00,38,32,33,23
05:10,42,32,33,26
05:20,42,32,33,26
05:30,42,33,33,28
05:40,44,34,34,30
05:50,44,35,34,30
06:00,44,35,34,31
06:10,46,36,34,31
06:20,48,38,34,32
06:30,51,41,34,34
06:40,55,42,35,34
06:50,55,44,35,34
07:00,57,45,35,34
07:10,57,47,35,34
07:20,53,48,35,34
07:30,54,50,35,33
07:40,55,51,35,34
07:50,55,51,36,34
08:00,55,51,37,33
08:10,54,51,37,32
08:20,54,50,38,30
08:30,55,50,40,29
08:40,54,48,39,25
08:50,52,48,38,24
09:00,53,48,38,24
09:10,53,47,38,22
09:20,51,46,38,21
09:30,51,46,38,20
09:40,49,43,38,16
09:50,47,33,38,15
10:00,45,32,37,15
10:10,44,32,37,15
10:20,42,31,37,14
10:30,41,31,36,13
10:40,41,31,36,11
10:50,40,29,36,11
11:00,40,29,36,12
11:10,41,27,36,12
11:20,42,27,36,12
11:30,38,24,36,11
11:40,35,19,36,11
11:50,32,21,35,12
12:00,31,23,36,11
12:10,29,21,34,11
12:20,28,18,33,10
12:30,27,17,32,8
12:40,28,15,32,7
12:50,26,13,31,6
13:00,25,13,31,5
13:10,25,12,31,7
13:20,24,14,29,7
13:30,22,15,29,9
13:40,20,15,29,11
13:50,20,15,30,10
14:00,19,14,30,10
14:10,21,11,28,9
14:20,22,11,28,10
14:30,22,11,28,9
14:40,22,10,27,7
14:50,23,11,27,7
15:00,23,11,26,8
15:10,21,11,25,8
15:20,21,10,25,9
15:30,26,10,23,10
15:40,25,9,24,11
15:50,22,10,24,11
16:00,19,11,24,11
16:10,16,11,23,12
16:20,11,10,22,14
16:30,11,10,22,13
16:40,10,14,21,15
16:50,9,14,21,15
17:00,7,14,21,15
17:10,4,13,24,17
17:20,8,14,24,17
17:30,10,14,25,16
17:40,6,11,24,15
17:50,8,11,27,15
18:00,7,13,27,12
18:10,4,11,27,12
18:20,2,11,27,12
18:30,3,9,27,12
18:40,2,10,28,12
18:50,1,8,28,12
19:00,2,8,28,13
19:10,2,8,27,11
19:20,1,8,27,11
19:30,1,8,27,12
19:40,1,8,27,12
19:50,1,11,27,14
20:00,0,11,26,13
20:10,1,11,26,12
20:20,0,12,26,12
20:30,0,11,27,11
20:40,0,11,27,13
20:50,1,11,26,13
21:00,1,10,26,15
21:10,1,10,28,16
21:20,2,7,28,15
21:30,1,5,28,15
21:40,0,5,28,13
21:50,0,3,28,12
22:00,2,2,28,10
