时间,东门,西门,南门,北门
00:00,58,56,39,31
00:10,58,57,39,31
00:20,59,57,39,31
00:30,59,57,39,31
00:40,60,57,39,31
00:50,60,57,39,31
01:00,60,58,39,31
01:10,60,58,39,31
01:20,60,58,39,31
01:30,60,58,39,32
01:40,60,58,39,32
01:50,60,58,39,32
02:00,60,58,39,32
02:10,60,58,39,32
02:20,60,58,39,32
02:30,60,58,39,32
02:40,60,58,39,33
02:50,60,58,39,33
03:00,60,58,39,33
03:10,60,58,39,33
03:20,60,58,39,33
03:30,60,58,39,33
03:40,60,58,39,35
03:50,60,58,39,35
04:00,60,59,40,35
04:10,60,59,40,35
04:20,61,59,40,35
04:30,62,59,40,36
04:40,62,59,40,36
04:50,63,59,40,36
05:00,64,59,40,36
05:10,64,59,40,36
05:20,64,60,40,36
05:30,64,60,40,36
05:40,64,60,40,36
05:50,64,60,40,36
06:00,64,60,40,36
06:10,65,60,40,36
06:20,65,60,40,36
06:30,65,60,40,37
06:40,65,60,40,37
06:50,65,60,40,38
07:00,65,60,40,40
07:10,65,60,40,40
07:20,67,60,40,40
07:30,68,60,40,40
07:40,70,60,40,40
07:50,70,59,40,40
08:00,70,59,40,40
08:10,70,59,40,40
08:20,70,59,40,40
08:30,70,59,40,40
08:40,70,59,40,40
08:50,69,59,40,40
09:00,69,59,40,40
09:10,69,59,40,39
09:20,69,59,38,39
09:30,68,59,38,39
09:40,67,58,38,39
09:50,67,58,38,39
10:00,67,57,38,39
10:10,67,57,38,39
10:20,66,57,38,39
10:30,66,57,38,39
10:40,66,57,38,39
10:50,66,57,38,39
11:00,66,57,38,39
11:10,66,57,38,39
11:20,66,57,38,39
11:30,64,57,38,39
11:40,64,57,38,37
11:50,64,57,38,36
12:00,64,57,38,36
12:10,64,57,38,36
12:20,64,56,37,35
12:30,64,56,37,35
12:40,64,56,37,35
12:50,64,56,37,34
13:00,64,56,37,32
13:10,63,56,37,32
13:20,63,55,37,32
13:30,63,55,37,31
13:40,63,55,37,31
13:50,63,55,37,30
14:00,63,55,37,30
14:10,63,54,37,31
14:20,62,54,38,30
14:30,62,54,38,30
14:40,62,54,38,30
14:50,61,54,38,30
15:00,61,54,38,29
15:10,61,54,38,29
15:20,62,54,38,29
15:30,61,54,39,30
15:40,60,54,39,30
15:50,60,55,39,31
16:00,59,56,39,31
16:10,59,56,39,31
16:20,60,56,39,31
16:30,61,56,39,31
16:40,62,56,39,31
16:50,62,56,38,32
17:00,61,56,38,32
17:10,61,56,39,32
17:20,62,56,39,33
17:30,63,57,39,33
17:40,63,57,39,33
17:50,64,57,39,33
18:00,66,57,39,33
18:10,66,57,39,33
18:20,65,57,39,33
18:30,66,57,39,32
18:40,65,57,39,33
18:50,65,57,39,34
19:00,65,57,39,34
19:10,65,57,39,34
19:20,65,56,39,34
19:30,65,55,39,34
19:40,65,57,40,34
19:50,66,56,40,34
20:00,66,56,40,35
20:10,66,56,40,34
20:20,66,56,40,34
20:30,67,56,40,34
20:40,67,56,40,34
20:50,67,56,40,34
21:00,66,56,40,35
21:10,66,56,40,36
21:20,66,55,40,36
21:30,66,55,40,36
21:40,66,54,40,37
21:50,66,54,40,37
22:00,66,54,40,37
22:10,66,54,40,37
22:20,66,54,40,38
22:30,66,54,40,38
22:40,66,53,40,38
22:50,66,53,40,38
23:00,66,52,40,38
23:10,66,50,40,38
23:20,68,51,40,38
23:30,68,51,40,38
23:40,68,51,40,38
23:50,68,51,40,38
